key_0,light,noise,thermal,location,user_id,room,indoor,co2,humidity,lightLevel,noiseLevel,presence,temperature,voc
2019-01-20 14:00:06.481000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-21 11:27:24.594000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-21 11:27:48.407000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-21 11:50:16.461000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-22 11:46:36.601000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-25 21:07:15.256000+08:00,11.0,9.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-26 19:40:38.397000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->FUTURE_TECHNOLOGIES_1,anon_q0t1to1bj56o,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-27 16:03:23.145000+08:00,11.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-27 22:12:34.404000+08:00,11.0,10.0,11.0,NET_ZERO_ENERGY_TRAIL->NET_ZERO_ENERGY_TRAIL,anon_23x8h09xzdb40,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-28 17:35:26.161000+08:00,11.0,11.0,11.0,NET_ZERO_ENERGY_TRAIL->NET_ZERO_ENERGY_TRAIL,anon_q0t1to1bj56o,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-28 17:43:22.629000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_q0t1to1bj56o,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-28 17:46:50.425000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->MATERIALITY,anon_q0t1to1bj56o,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-29 15:47:46.638000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_191vfn28tq9kw,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-29 15:50:30.311000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->FUTURE_TECHNOLOGIES_1,anon_191vfn28tq9kw,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-29 15:53:29.881000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->FUTURE_TECHNOLOGIES_1,anon_217b9kkjb7280,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-30 12:05:46.033000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_3b35irbjchs00,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-01-30 12:17:18.387000+08:00,10.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_2roupkzt8oc00,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-09 15:01:06.075000+08:00,9.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->MATERIALITY,anon_1pxxpk9eqpssg,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 12:08:26.681000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_2y13yuq7u1se8,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:07:20.264000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_2nf3oucbdcohs,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:07:42.714000+08:00,9.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_1jfgivai8h4ao,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:07:44.224000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_2co84nsxjn6s0,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:07:45.635000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_4fqk92rtzbw0,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:07:46.111000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_6ngtq12pkg80,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:08:02.796000+08:00,11.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->MATERIALITY,anon_blh1wuour1ts,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:08:06.400000+08:00,10.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_126d7m24zyhhc,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-11 15:08:07.267000+08:00,10.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->MATERIALITY,anon_7wwrchb0r280,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:16:16.552000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_27mhwm177zugw,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:16:18.027000+08:00,11.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_dpox2mw911q8,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:16:19.049000+08:00,11.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_3kvn7gq2u8600,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:16:43.874000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_12a8js1p2ve80,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:16:56.658000+08:00,11.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_2gh3mj8k0o0e8,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:16:59.838000+08:00,11.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_3ukr6k9qkj200,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:18:45.183000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_29p1mj79qz1fk,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 11:19:23.617000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->FUTURE_TECHNOLOGIES_1,anon_dpox2mw911q8,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 17:03:21.641000+08:00,10.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_ocwl1n2r17k0,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 17:03:21.965000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_11dd7v99fug3k,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-13 17:05:18.848000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_23jrj96s5d88w,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-18 14:59:36.537000+08:00,10.0,10.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_IN_PLACE,anon_2v3f3nhb5u3uo,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-18 14:59:37.405000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_2u06qv6ynwq00,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-19 14:12:47.085000+08:00,10.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_2b5r3qwr75lw0,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-19 14:13:23.545000+08:00,10.0,9.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_3gmiabzt0v600,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 11:12:24.508000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_325ppkyu4w000,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 11:12:25.645000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_t0ezyafkh14w,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 11:15:51.949000+08:00,11.0,9.0,10.0,BIOPHILIC_DESIGN_TRAIL->NATURE_OF_PLACE,anon_2obosdhd0s000,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 11:18:39.276000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_2mxcm17ue4g00,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 11:18:55.278000+08:00,10.0,11.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_3m4dc1gzd8400,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 11:35:08.423000+08:00,10.0,10.0,10.0,NET_ZERO_ENERGY_TRAIL->NET_ZERO_ENERGY_TRAIL,anon_325ppkyu4w000,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 13:56:30.407000+08:00,9.0,11.0,11.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_185kl85lj8gw0,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
2019-02-20 14:04:05.650000+08:00,10.0,10.0,10.0,BIOPHILIC_DESIGN_TRAIL->BIOPHILIC_DESIGN_TRAIL,anon_31ng9xiflmc5c,PLANTER_BOX_NEAR_LAB,0,1258.0,52.4773,266.0,47.0,5.0,25.8874,382.0
